filename	!!!Rolling Stone List Rank:	!!!OTL:	!!!COC:	!!!RRD:	!!!In original RS 5x20 subset	YoutubeLink
sympathy_for_the_devil	32	Sympathy for the Devil	The Rolling Stones	1968	*	https://www.youtube.com/watch?v=Jwtyn-L-2gQ
take_me_to_the_river	117	Take Me to the River	Al Green	1974	*	https://www.youtube.com/watch?v=9FBUgdhxe9M
tangled_up_in_blue	68	Tangled Up in Blue	Bob Dylan	1975	*	https://www.youtube.com/watch?v=YwSZvHqf9qM
tears_in_heaven	353	Tears in Heaven	Eric Clapton	1992	*	https://www.youtube.com/watch?v=JxPj3GAYYZ0
thatll_be_the_day	39	That'll Be the Day	Buddy Holly	1957	*	https://www.youtube.com/watch?v=eq9FCBatl3A
thats_all_right	112	That's All Right	Elvis Presley	1954		https://www.youtube.com/watch?v=NmopYuF4BzY
the_boxer	105	The Boxer	Simon and Garfunkel	1969		https://www.youtube.com/watch?v=Bb3TyhlhriY
the_message	51	The Message	Grandmaster Flash & the Furious Five	1982	*	https://www.youtube.com/watch?v=PobrSpMwKk4
the_sounds_of_silence	156	The Sounds of Silence	Simon and Garfunkel	1965		https://www.youtube.com/watch?v=nwP3vPQi0nI
the_times_they_are_a-changin	59	The Times They Are A-Changin'	Bob Dylan	1964		https://www.youtube.com/watch?v=90WD_ats6eE
the_tracks_of_my_tears	50	The Tracks of My Tears	The Miracles	1965		https://www.youtube.com/watch?v=Vjw2dSRVCPE
the_weight	41	The Weight	The Band	1968		https://www.youtube.com/watch?v=eG409WzvTtQ
thunder_road	86	Thunder Road	Bruce Springsteen	1975	*	https://www.youtube.com/watch?v=6O3MO2y30fU
tutti_frutti	43	Tutti Frutti	Little Richard	1955	*	https://www.youtube.com/watch?v=Cj059o9OwqY
up_on_the_roof	113	Up On the Roof	The Drifters	1962		https://www.youtube.com/watch?v=puM1k-S86nE
voodoo_child	101	Voodoo Child (Slight Return)	Jimi Hendrix	1968		https://www.youtube.com/watch?v=IZBlqcbpmxY
walk_on_by	70	Walk On By	Dionne Warwick	1964		https://www.youtube.com/watch?v=_fGgxMO15sE
waterloo_sunset	42	Waterloo Sunset	The Kinks	1967		https://www.youtube.com/watch?v=N_MqfF0WBsU
whatd_i_say	10	What'd I Say	Ray Charles	1959	*	https://www.youtube.com/watch?v=EPLZL4s_jtI
whats_going_on	4	What's Going On	Marvin Gaye	1971	*	https://www.youtube.com/watch?v=H-kA3UtBj4M
when_a_man_loves_a_woman	54	When a Man Loves a Woman	Percy Sledge	1966		https://www.youtube.com/watch?v=EYb84BDMbi0
