RANK	TITLE	ARTIST
234	I'll Feel a Whole Lot Better	The Byrds
235	I Got a Woman	Ray Charles
236	Everyday	Buddy Holly and the Crickets
237	Planet Rock	Afrika Bambaataa and the Soul Sonic Force
238	I Fall to Pieces	Patsy Cline
239	The Wanderer	Dion
240	Son of a Preacher Man	Dusty Springfield
241	Stand!	Sly and the Family Stone
242	Rocket Man	Elton John
243	Love Shack	The B-52's
244	Gimme Some Lovin'	The Spencer Davis Group
245	The Night They Drove Old Dixie Down	The Band
246	(Your Love Keeps Lifting Me) Higher and Higher	Jackie Wilson
247	Hot Fun in the Summertime	Sly and the Family Stone
248	Rappers Delight	The Sugarhill Gang
249	Chain Of Fools	Aretha Franklin
250	Paranoid	Black Sabbath
251	Mack the Knife	Bobby Darin
252	Money Honey	The Drifters
253	All the Young Dudes	Mott the Hoople
254	Highway to Hell	AC/DC
255	Heart of Glass	Blondie
256	Paranoid Android	Radiohead
257	Wild Thing	The Troggs
258	I Can See for Miles	The Who
259	Hallelujah	Jeff Buckley
260	Oh, What a Night	The Dells
261	Higher Ground	Stevie Wonder
262	Ooo Baby Baby	Smokey Robinson
263	He's A Rebel	The Crystals
264	Sail Away	Randy Newman
265	Tighten Up	Archie Bell and the Drells
266	Walking in the Rain	The Ronettes
267	Personality Crisis	New York Dolls
268	Sunday Bloody Sunday	U2
269	Roadrunner	The Modern Lovers
270	He Stopped Loving Her Today	George Jones
271	Sloop John B	The Beach Boys
272	Sweet Little Sixteen	Chuck Berry
273	Something	The Beatles
274	Somebody to Love	Jefferson Airplane
275	Born in the U.S.A.	Bruce Springsteen
276	I'll Take You There	The Staple Singers
277	Ziggy Stardust	David Bowie
278	Pictures of You	The Cure
279	Chapel of Love	The Dixie Cups
280	Ain't No Sunshine	Bill Withers
281	You Are the Sunshine of My Life	Stevie Wonder
282	Help Me	Joni Mitchell
283	Call Me	Blondie
284	(What's So Funny 'Bout) Peace Love and Understanding?	Elvis Costello and the Attractions
285	Smoke Stack Lightning	Howlin' Wolf
286	Summer Babe	Pavement
287	Walk This Way	Run-D.M.C.
288	Money (That's What I Want)	Barrett Strong
289	Can't Buy Me Love	The Beatles
290	Stan	Eminem featuring Dido
291	She's Not There	The Zombies
292	Train in Vain	The Clash
293	Tired of Being Alone	Al Green
294	Black Dog	Led Zeppelin
295	Street Fighting Man	The Rolling Stones
296	Get Up, Stand Up	Bob Marley and The Wailers
297	Heart of Gold	Neil Young
298	One Way Or Another	Blondie
299	Sign 'O' the Times	Prince
300	Like a Prayer	Madonna
301	Do Ya Think I'm Sexy?	Rod Stewart
302	Blue Eyes Crying In The Rain	Willie Nelson
303	Ruby Tuesday	The Rolling Stones
304	With a Little Help From My Friends	The Beatles
305	Say It Loud -- I'm Black and Proud	James Brown
306	That's Entertainment	The Jam
307	Why Do Fools Fall In Love	Frankie Lymon and the Teenagers
308	Lonely Teardrops	Jackie Wilson
309	What's Love Got To Do With It	Tina Turner
310	Iron Man	Black Sabbath
311	Wake Up Little Susie	The Everly Brothers
312	In Dreams	Roy Orbison
313	I Put a Spell on You	Screamin' Jay Hawkins
314	Comfortably Numb	Pink Floyd
315	Don't Let Me Be Misunderstood	The Animals
316	Wish You Were Here	Pink Floyd
317	Many Rivers to Cross	Jimmy Cliff
318	Alison	Elvis Costello
319	School's Out	Alice Cooper
320	Heartbreaker	Led Zeppelin
321	Cortez the Killer	Neil Young
322	Fight the Power	Public Enemy
323	Dancing Barefoot	Patti Smith Group
324	Baby Love	The Supremes
325	Good Lovin'	The Young Rascals
326	Get Up (I Feel Like Being a) Sex Machine	James Brown
327	For Your Precious Love	Jerry Butler and the Impressions
328	The End	The Doors
329	That's the Way of the World	Earth, Wind and Fire
330	We Will Rock You	Queen
331	I Can't Make You Love Me	Bonnie Raitt
332	Subterranean Homesick Blues	Bob Dylan
333	Spirit in the Sky	Norman Greenbaum
334	Wild Horses	The Rolling Stones
335	Sweet Jane	The Velvet Underground
336	Walk This Way	Aerosmith
337	Beat It	Michael Jackson
338	Maybe I'm Amazed	Paul McCartney
339	You Keep Me Hanging On	The Supremes
340	Baba O'Riley	The Who
341	The Harder They Come	Jimmy Cliff
342	Runaround Sue	Dion
343	Jim Dandy	Lavern Baker
344	Piece of My Heart	Big Brother and the Holding Company
345	La Bamba	Ritchie Valens
346	California Love	2Pac
347	Candle in the Wind	Elton John
348	That Lady (Part 1 and 2)	The Isley Brothers
349	Spanish Harlem	Ben E. King
350	The Locomotion	Little Eva
351	The Great Pretender	The Platters
352	All Shook Up	Elvis Presley
353	Tears in Heaven	Eric Clapton
354	Watching the Detectives	Elvis Costello
355	Bad Moon Rising	Creedence Clearwater Revival
356	Sweet Dreams (Are Made of This)	Eurythmics
357	Little Wing	Jimi Hendrix
358	Nowhere to Run	Martha and the Vandellas
359	Got My Mojo Working	Muddy Waters
360	Killing Me Softly With His Song	Roberta Flack
361	Complete Control	The Clash
362	All You Need Is Love	The Beatles
363	The Letter	The Box Tops
364	Highway 61 Revisited	Bob Dylan
365	Unchained Melody	The Righteous Brothers
366	How Deep Is Your Love	The Bee Gees
367	White Room	Cream
368	Personal Jesus	Depeche Mode
369	I'm A Man	Bo Diddley
370	The Wind Cries Mary	Jimi Hendrix
371	I Can't Explain	The Who
372	Marquee Moon	Television
373	Wonderful World	Sam Cooke
374	Brown Eyed Handsome Man	Chuck Berry
375	Another Brick in the Wall Part 2	Pink Floyd
376	Fake Plastic Trees	Radiohead
377	Hit the Road Jack	Ray Charles
378	Pride (In The Name of Love)	U2
379	Radio Free Europe	R.E.M.
380	Goodbye Yellow Brick Road	Elton John
381	Tell It Like It Is	Aaron Neville
382	Bitter Sweet Symphony	The Verve
383	Whipping Post	The Allman Brothers Band
384	Ticket to Ride	The Beatles
385	Ohio	Crosby, Stills, Nash and Young
386	I Know You Got Soul	Eric B and Rakim
387	Tiny Dancer	Elton John
388	Roxanne	The Police
389	Just My Imagination	The Temptations
390	Baby I Need Your Loving	The Four Tops
391	Band of Gold	Freda Payne
392	O-o-h Child	The Five Stairsteps
393	Summer in the City	The Lovin' Spoonful
394	Can't Help Falling in Love	Elvis Presley
395	Remember (Walkin' in the Sand)	The Shangri-Las
396	Thirteen	Big Star
397	(Don't Fear) the Reaper	Blue Oyster Cult
398	Sweet Home Alabama	Lynyrd Skynyrd
399	Enter Sandman	Metallica
400	Kicks	Paul Revere & The Raiders
