FileName	Rolling Stone Rank	TITLE	ARTIST	Release Year	RS 5x20 subset	Lyric subset	YoutubeLink
RKelly_IBelieveICanFly_1996	406	I Believe I Can Fly	R. Kelly	1996	TRUE	TRUE	https://www.youtube.com/watch?v=GIQn8pab8Vc
BonnieRaitt_ICantMakeYouLoveMe_1991	331	I Can't Make You Love Me	Bonnie Raitt	1991	TRUE	TRUE	https://www.youtube.com/watch?v=nW9Cu6GYqxo
RayCharles_ICantStopLovingYou_1962	161	I Can't Stop Loving You	Ray Charles	1962	FALSE	FALSE	https://www.youtube.com/watch?v=w-YqaTDDCDM
TheBobbyFullerFour_IFoughtTheLaw_1966	175	I Fought the Law	The Bobby Fuller Four	1966	FALSE	FALSE	https://www.youtube.com/watch?v=OgtQj8O92eI
JamesBrown_IGotYou_1965	78	I Got You (I Feel Good)	James Brown	1965	FALSE	FALSE	https://www.youtube.com/watch?v=ETNWrulIDic
MarvinGaye_IHeardItThroughTheGrapevine_1968	80	I Heard It Through the Grapevine	Marvin Gaye	1968	FALSE	FALSE	https://www.youtube.com/watch?v=hajBdDM2qdg
TheFlamingos_IOnlyHaveEyesForYou_1959	157	I Only Have Eyes for You	The Flamingos	1959	FALSE	FALSE	https://www.youtube.com/watch?v=FvzNeh4Mq1o
TheBeatles_ISawHerStandingThere_1964	139	I Saw Her Standing There	The Beatles	1964	FALSE	FALSE	https://www.youtube.com/watch?v=mwBdWVTR-o8
U2_IStillHaventFoundWhatImLookingFor_1987	93	I Still Haven't Found What I'm Looking For	U2	1987	TRUE	TRUE	https://www.youtube.com/watch?v=e3-5YC_oHjE
JohnnyCash_IWalkTheLine_1956	30	I Walk the Line	Johnny Cash	1956	TRUE	TRUE	https://www.youtube.com/watch?v=Ut34Q_tM0JM
TheRamones_IWannaBeSedated_1978	144	I Wanna Be Sedated	The Ramones	1978	FALSE	FALSE	https://www.youtube.com/watch?v=bm51ihfi1p4
TheBeatles_IWantToHoldYourHand_1963	16	I Want to Hold Your Hand	The Beatles	1963	TRUE	TRUE	https://www.youtube.com/watch?v=jenWdylTtzs
TheJackson5_IWantYouBack_1969	120	I Want You Back	The Jackson 5	1969	FALSE	FALSE	https://www.youtube.com/watch?v=GP5qFx2yAtU
HankWilliams_ImSoLonesomeICouldCry_1949	111	I'm So Lonesome I Could Cry	Hank Williams	1949	FALSE	FALSE	https://www.youtube.com/watch?v=4WXYjm74WFI
TheVelvetUnderground_ImWaitingForTheMan_1967	159	I'm Waiting for the Man	The Velvet Underground	1967	FALSE	FALSE	https://www.youtube.com/watch?v=kRIFVWQIVrg
OtisRedding_IveBeenLovingYouTooLong_1965	110	I've Been Loving You Too Long (to Stop Now)	Otis Redding	1965	FALSE	FALSE	https://www.youtube.com/watch?v=qZ6OrrkeVFo
JohnLennon_Imagine_1971	3	Imagine	John Lennon	1971	TRUE	TRUE	https://www.youtube.com/watch?v=EJ72bYyEtBg
Nirvana_InBloom_1991	407	In Bloom	Nirvana	1991	TRUE	TRUE	https://www.youtube.com/watch?v=kRY1cvrfdlg
TheBeatles_InMyLife_1965	23	In My Life	The Beatles	1965	TRUE	TRUE	https://www.youtube.com/watch?v=YBcdt6DsLQA
WilsonPickett_InTheMidnightHour_1965	134	In The Midnight Hour	Wilson Pickett	1965	FALSE	FALSE	https://www.youtube.com/watch?v=rixhkdO_IdU
TheFiveSatins_InTheStillOfTheNight_1956	90	In the Still of the Nite	The Five Satins	1956	TRUE	FALSE	https://www.youtube.com/watch?v=MRb1-SAAIzs
